id,reading,answer,example,category,level
464,ゆうりょう,有料,指定の袋は有料になっている,買い物,1
465,むだづかい,無駄遣い,衝動買いを減らして無駄遣いを防ぐ,買い物,2
466,しょうどうがい,衝動買い,欲しくなってつい衝動買いをした,買い物,2
467,まとめがい,まとめ買い,安い日に日用品をまとめ買いする,買い物,1
468,ひかえ,控え,支払いの控えを保管しておく,買い物,2
469,うちわけ,内訳,請求金額の内訳を確認する,買い物,2
470,さがく,差額,交換した商品の差額を支払う,買い物,2
471,へんきん,返金,キャンセルした代金が返金された,買い物,1
472,かんぷ,還付,払い過ぎた税金の還付を受ける,手続き,3
473,みばらい,未払い,未払いの料金がないか確認する,買い物,1
474,ぜんがく,全額,キャンセル料が全額返金された,買い物,1
475,いちぶ,一部,代金の一部を先に支払う,買い物,1
476,ぶんかつ,分割,代金を分割で支払う,買い物,1
477,いっかつ,一括,残りの代金を一括で支払う,買い物,2
478,てつけきん,手付金,契約時に手付金を支払う,買い物,2
479,こうにゅうしゃ,購入者,購入者の名前を確認する,買い物,1
480,りようしゃ,利用者,サービスの利用者登録を行う,手続き,1
481,びこう,備考,申込書の備考欄に補足を書く,仕事,2
482,らん,欄,必要な欄にチェックを入れる,仕事,2
483,こうもく,項目,入力する項目を順番に確認する,仕事,2
484,がいよう,概要,企画の概要を短くまとめる,仕事,2
485,ようやく,要約,長い文章の内容を要約する,仕事,2
486,ほそく,補足,説明が足りない部分を補足する,仕事,2
487,さんしょう,参照,詳しい内容は別紙を参照する,仕事,2
488,てんそうさき,転送先,メールの転送先を確認する,仕事,1
489,べっし,別紙,詳しい内容を別紙にまとめる,仕事,2
490,げんぽん,原本,手続きには書類の原本が必要になる,仕事,2
491,うつし,写し,身分証明書の写しを提出する,仕事,1
492,ふくしゃ,複写,必要な書類を複写して保管する,仕事,2
493,えつらん,閲覧,社内資料をパソコンで閲覧する,仕事,3
494,しょうかい,照会,登録内容について担当部署に照会する,仕事,2
495,しょうごう,照合,書類とデータの内容を照合する,仕事,2
496,しょうにんいん,承認印,確認後に承認印を押す,仕事,2
497,かいらん,回覧,連絡事項を部署内で回覧する,仕事,2
498,けいさい,掲載,案内をホームページに掲載する,仕事,2
499,けいじ,掲示,お知らせを入口に掲示する,仕事,2
500,てっぱい,撤廃,古い制度を撤廃することが決まった,仕事,3
501,しょくよく,食欲,暑さで少し食欲が落ちている,健康,1
502,たいちょう,体調,朝から体調がすぐれない,健康,1
503,けんたいかん,倦怠感,疲れがたまり倦怠感がある,健康,3
504,かたこり,肩凝り,長時間の作業で肩凝りがひどくなる,健康,3
505,こしつう,腰痛,重い物を持って腰痛が出た,健康,1
506,きんにくつう,筋肉痛,運動した翌日に筋肉痛になった,健康,1
507,はれ,腫れ,足首の腫れが引いてきた,健康,2
508,むくみ,浮腫み,夕方になると足の浮腫みが気になる,健康,3
509,かゆみ,痒み,虫に刺された場所に痒みがある,健康,3
510,いたみ,痛み,無理をせず痛みがある場所を休ませる,健康,1
511,きず,傷,小さな傷を水できれいに洗う,健康,1
512,きずぐち,傷口,傷口を清潔に保つ,健康,1
513,しゅっけつ,出血,傷からの出血が止まったか確認する,健康,2
514,びねつ,微熱,夕方になって微熱が出た,健康,2
515,さむけ,寒気,急に寒気を感じたので体温を測る,健康,2
516,おうと,嘔吐,症状の欄に嘔吐の有無を記入する,病院,3
517,げねつ,解熱,薬を飲んでしばらくすると解熱した,病院,2
518,ちんつう,鎮痛,鎮痛作用のある薬について説明を受ける,病院,3
519,ふくよう,服用,薬を決められた時間に服用する,病院,2
520,ようほう,用法,薬の用法をよく確認する,病院,2
521,あいまい,曖昧,返事が曖昧で意味が分かりにくい,日常,3
522,おだやか,穏やか,今日は風もなく穏やかな天気だ,日常,2
523,にぎやか,賑やか,休日の商店街はとても賑やかだ,日常,3
524,しずか,静か,夜は静かな部屋で本を読む,日常,1
525,めんどう,面倒,面倒な作業を先に終わらせる,日常,1
526,ていねい,丁寧,書類に住所を丁寧に書く,日常,2
527,ざつ,雑,急いでいたので作業が雑になった,日常,2
528,じょうぶ,丈夫,丈夫で長く使える鞄を選ぶ,日常,2
529,やわらかい,柔らかい,柔らかいタオルを使う,日常,2
530,かたい,硬い,この瓶のふたは硬くて開かない,日常,1
531,ゆるい,緩い,ねじが緩いので締め直す,日常,2
532,しめつけ,締め付け,靴の締め付けがきつく感じる,日常,2
533,まぶしい,眩しい,朝日が眩しいのでカーテンを閉める,日常,3
534,さわやか,爽やか,窓を開けると爽やかな風が入る,日常,3
535,なつかしい,懐かしい,昔の写真を見て懐かしい気持ちになる,日常,2
536,めずらしい,珍しい,店で珍しい果物を見つけた,日常,2
537,めんぼく,面目,失敗して面目を失う,日常,3
538,きげん,機嫌,今日は朝から機嫌がいい,日常,2
539,いごこち,居心地,居心地のよい部屋でくつろぐ,日常,2
540,きゅうくつ,窮屈,満員電車で少し窮屈に感じる,日常,3
541,れいぞうこ,冷蔵庫,買ってきた牛乳を冷蔵庫に入れる,家,1
542,でんしれんじ,電子レンジ,電子レンジで料理を温める,家,1
543,かんき,換気,窓を開けて部屋を換気する,家,2
544,しつど,湿度,部屋の湿度を確認する,家,2
545,じょしつ,除湿,梅雨は除湿機を使う,家,2
546,かしつ,加湿,乾燥するので部屋を加湿する,家,2
547,せんめんだい,洗面台,洗面台についた水滴を拭く,家,1
548,よくそう,浴槽,浴槽にお湯をためる,家,2
549,きゅうとう,給湯,給湯器の温度を設定する,家,2
550,おんど,温度,エアコンの温度を調整する,家,1
551,せんたくそう,洗濯槽,洗濯槽を定期的に掃除する,家,1
552,じゅうなんざい,柔軟剤,洗濯するときに柔軟剤を入れる,家,2
553,せんじょう,洗浄,フィルターを水で洗浄する,家,2
554,すすぎ,濯ぎ,洗濯機の濯ぎ回数を設定する,家,3
555,だっすい,脱水,洗濯機で脱水まで行う,家,2
556,かわかす,乾かす,ぬれた靴を日陰で乾かす,家,1
557,ふく,拭く,テーブルの汚れを布で拭く,家,2
558,みがく,磨く,洗面台の鏡をきれいに磨く,家,2
559,はく,掃く,玄関をほうきで掃く,家,2
560,すてる,捨てる,不要になった紙を捨てる,家,1
561,きざむ,刻む,ねぎを細かく刻む,料理,2
562,むく,剥く,りんごの皮を薄く剥く,料理,3
563,しぼる,絞る,レモンを絞って果汁を加える,料理,2
564,まぜる,混ぜる,材料をよく混ぜる,料理,1
565,とかす,溶かす,バターを弱火で溶かす,料理,2
566,こがす,焦がす,火が強すぎて魚を焦がす,料理,2
567,こげる,焦げる,パンが少し焦げる,料理,2
568,こす,濾す,だしを布で濾す,料理,3
569,つける,漬ける,野菜を調味液に漬ける,料理,2
570,そえる,添える,料理にレモンを添える,料理,2
571,かざる,飾る,ケーキに果物を飾る,料理,1
572,はかる,量る,小麦粉を百グラム量る,料理,2
573,ひとつまみ,一摘み,塩を一摘み加える,料理,3
574,しょうしょう,少々,仕上げに塩を少々加える,料理,2
575,てきりょう,適量,好みに合わせて醤油を適量入れる,料理,2
576,かじゅう,果汁,レモンの果汁を料理に加える,料理,2
577,かにく,果肉,果肉がたっぷり入ったゼリーを食べる,料理,2
578,こく,穀,穀類をバランスよく食べる,料理,3
579,ざっこく,雑穀,白米に雑穀を混ぜて炊く,料理,2
580,はっこう,発酵,生地を温かい場所で発酵させる,料理,2
581,しょうたいじょう,招待状,結婚式の招待状が届く,日常,2
582,けっこんしき,結婚式,友人の結婚式に出席する,日常,1
583,そうしき,葬式,親族の葬式に参列する,日常,2
584,こうでん,香典,受付で香典を渡す,日常,3
585,しゅうぎ,祝儀,結婚のお祝いに祝儀を包む,日常,2
586,のしぶくろ,熨斗袋,お祝いのお金を熨斗袋に入れる,日常,3
587,ほうじ,法事,親族が集まって法事を行う,日常,2
588,ぼん,盆,盆には家族で墓参りをする,日常,1
589,ひがん,彼岸,彼岸に墓参りへ行く,日常,2
590,はかまいり,墓参り,彼岸に家族で墓参りへ行く,日常,1
591,きちょう,記帳,受付で名前を記帳する,日常,2
592,いわい,祝い,友人の結婚祝いを用意する,日常,1
593,おれい,御礼,お世話になった人に御礼を伝える,日常,2
594,みまい,見舞い,入院した知人へ見舞いに行く,日常,1
595,おくりもの,贈り物,誕生日に贈り物を渡す,日常,1
596,ぞうとう,贈答,季節の贈答品を選ぶ,日常,2
597,ほうそう,包装,贈り物をきれいに包装してもらう,買い物,1
598,のし,熨斗,贈答品に熨斗を付けてもらう,買い物,3
599,てみやげ,手土産,訪問先へ手土産を持っていく,日常,1
600,さしいれ,差し入れ,仕事中の仲間に飲み物を差し入れする,日常,1
601,しんりょう,診療,休日の診療時間を確認する,病院,2
602,もんしん,問診,診察前に問診を受ける,病院,2
603,もんしんひょう,問診票,待合室で問診票を記入する,病院,2
604,たいおんけい,体温計,体温計で熱を測る,健康,1
605,けつあつけい,血圧計,自宅の血圧計で血圧を測る,健康,1
606,たいじゅうけい,体重計,朝起きて体重計に乗る,健康,1
607,しんさつけん,診察券,受付で診察券を出す,病院,1
608,ほけんしょう,保険証,受付で保険証を提示する,病院,1
609,ちょうざい,調剤,薬局で薬を調剤してもらう,病院,2
610,やくざいし,薬剤師,薬剤師から薬の説明を受ける,病院,2
611,ふくさよう,副作用,薬の副作用について確認する,病院,2
612,こうか,効果,薬の効果が出るまで安静にする,健康,1
613,こうのう,効能,薬の効能を説明書で確認する,病院,2
614,しょくぜん,食前,この薬は食前に服用する,病院,1
615,しょくご,食後,薬を食後に飲む,病院,1
616,くうふく,空腹,空腹のまま薬を飲まないようにする,健康,2
617,あんせい,安静,体調が悪いので家で安静にする,健康,2
618,かいふく,回復,十分に休んで体力が回復した,健康,1
619,めんえき,免疫,睡眠や食事で健康を保つ,健康,2
620,けんさけっか,検査結果,病院で検査結果の説明を受ける,病院,1
621,ためらう,躊躇う,声をかけようか少し躊躇う,日常,3
622,ためる,貯める,旅行のために少しずつお金を貯める,日常,1
623,たくわえる,蓄える,災害に備えて水を蓄える,日常,2
624,そろえる,揃える,必要な道具を一式揃える,日常,2
625,かたづける,片付ける,使った物を元の場所に片付ける,日常,1
626,なくす,失くす,大切な鍵を失くさないようにする,日常,1
627,ひろう,拾う,道に落ちていた財布を拾う,日常,1
628,わたす,渡す,受付で書類を担当者に渡す,日常,1
629,あずける,預ける,旅行中は荷物をホテルに預ける,日常,2
630,あずかる,預かる,友人から荷物を一時的に預かる,日常,2
631,かりる,借りる,図書館で本を借りる,日常,1
632,かす,貸す,友人に傘を貸す,日常,1
633,とどける,届ける,忘れ物を持ち主に届ける,日常,1
634,たずねる,尋ねる,分からない道を駅員に尋ねる,日常,2
635,たしかめる,確かめる,出発前に時間を確かめる,日常,1
636,ことわる,断る,都合が悪いので誘いを断る,日常,2
637,あやまる,謝る,迷惑をかけた相手に謝る,日常,2
638,ゆるす,許す,事情を聞いて相手を許す,日常,2
639,すすめる,勧める,友人にお気に入りの店を勧める,日常,2
640,ゆずる,譲る,電車で席を必要な人に譲る,日常,2
641,ふせぐ,防ぐ,窓を閉めて雨の吹き込みを防ぐ,家,2
642,さえぎる,遮る,カーテンで強い日差しを遮る,家,3
643,おおう,覆う,家具を布で覆ってほこりを防ぐ,家,3
644,しめる,湿る,雨の日は洗濯物が湿る,家,2
645,くさる,腐る,食品が腐る前に冷蔵庫へ入れる,家,2
646,いたむ,傷む,湿気で床が傷まないようにする,家,2
647,もれる,漏れる,蛇口から水が漏れている,家,2
648,つまる,詰まる,排水口にごみが詰まる,家,2
649,あふれる,溢れる,浴槽からお湯が溢れないようにする,家,3
650,こぼす,零す,飲み物を床に零してしまう,家,3
651,こぼれる,零れる,コップから水が零れる,家,3
652,ちらかる,散らかる,子ども部屋がおもちゃで散らかる,家,1
653,ちらかす,散らかす,使った物を出したまま散らかす,家,1
654,たたむ,畳む,乾いた洗濯物を畳む,家,2
655,かける,掛ける,上着をハンガーに掛ける,家,2
656,しきもの,敷物,床に新しい敷物を敷く,家,2
657,かべがみ,壁紙,古くなった壁紙を張り替える,家,1
658,しょうもう,消耗,毎日使う電池が少しずつ消耗する,家,2
659,れっか,劣化,日光でゴムが劣化する,家,2
660,たいきゅう,耐久,購入前に製品の耐久性を確認する,家,2
661,しょうひぜい,消費税,商品の代金に消費税が加わる,買い物,1
662,ぜいりつ,税率,商品の税率を確認する,買い物,2
663,ていか,定価,定価より安く販売されている,買い物,1
664,はんがく,半額,閉店前に弁当が半額になった,買い物,1
665,わりまし,割増,休日は料金が割増になる,買い物,2
666,ねびき,値引き,まとめて買うと値引きされる,買い物,1
667,とくばい,特売,スーパーの特売で野菜を買う,買い物,1
668,げんてい,限定,期間限定の商品を見つける,買い物,1
669,うりきれ,売り切れ,人気の商品が売り切れになった,買い物,1
670,とりよせ,取り寄せ,店頭にない商品を取り寄せてもらう,買い物,1
671,よやくはんばい,予約販売,新商品が予約販売されている,買い物,1
672,ちゅうもんすう,注文数,注文数を確認してから確定する,買い物,1
673,こすう,個数,購入する商品の個数を入力する,買い物,1
674,すうりょう,数量,注文する数量を変更する,買い物,1
675,ざいこすう,在庫数,画面で商品の在庫数を確認する,買い物,1
676,ひきかえけん,引換券,受付で商品と引換券を交換する,買い物,2
677,りょうがえき,両替機,両替機で紙幣を硬貨に替える,買い物,2
678,けっさい,決済,スマホで代金を決済する,買い物,2
679,りょうきん,料金,サービスの利用料金を確認する,買い物,1
680,だいきん,代金,商品の代金をレジで支払う,買い物,1
681,しょぞく,所属,書類に所属部署を記入する,仕事,2
682,やくしょく,役職,名刺に役職が記載されている,仕事,1
683,ぶしょ,部署,担当の部署へ電話をつなぐ,仕事,2
684,じょうし,上司,作成した資料を上司に確認してもらう,仕事,1
685,どうりょう,同僚,同僚と仕事の予定を相談する,仕事,2
686,こうにん,後任,異動前に後任へ仕事を引き継ぐ,仕事,2
687,ぜんにん,前任,前任者が残した資料を確認する,仕事,2
688,いどう,異動,来月から別の部署へ異動する,仕事,2
689,てんきん,転勤,転勤に伴って引っ越しをする,仕事,1
690,はいぞく,配属,新入社員が営業部に配属される,仕事,2
691,さいよう,採用,面接を経て正式に採用された,仕事,2
692,おうぼしゃ,応募者,応募者に面接の日程を連絡する,仕事,1
693,りれきしょ,履歴書,面接前に履歴書を準備する,仕事,2
694,しょくれき,職歴,履歴書にこれまでの職歴を書く,仕事,1
695,けいれき,経歴,簡単な経歴を紹介する,仕事,2
696,しかく,資格,仕事に必要な資格を取得する,仕事,1
697,めんせつ,面接,採用試験の面接を受ける,仕事,1
698,たいしょく,退職,長年勤めた会社を退職する,仕事,1
699,ふくしょく,復職,休職期間を終えて職場に復職する,仕事,2
700,きゅうしょく,休職,事情があってしばらく休職する,仕事,2
701,しょざいち,所在地,会社の所在地を地図で確認する,手続き,2
702,ほんせき,本籍,申請書に本籍を記入する,手続き,2
703,せたいぬし,世帯主,書類に世帯主の氏名を書く,手続き,2
704,つづきがら,続柄,本人との続柄を記入する,手続き,3
705,ふよう,扶養,扶養に関する書類を提出する,手続き,3
706,はいぐうしゃ,配偶者,申告書に配偶者の有無を記入する,手続き,2
707,いんえい,印影,書類に押した印影を確認する,手続き,3
708,みとめいん,認印,簡単な手続きに認印を使う,手続き,2
709,じついん,実印,重要な契約で実印を使用する,手続き,2
710,いんかんしょうめい,印鑑証明,契約に必要な印鑑証明を取得する,手続き,2
711,しょめいらん,署名欄,書類の署名欄に名前を書く,手続き,2
712,なついん,捺印,確認した書類に捺印する,手続き,3
713,ていじ,提示,受付で本人確認書類を提示する,手続き,2
714,けいたい,携帯,本人確認書類を常に携帯する,日常,2
715,けいたいひん,携帯品,旅行前に携帯品を確認する,日常,2
716,しょじ,所持,身分証を所持しているか確認する,手続き,2
717,とうろく,登録,新しい住所をサービスに登録する,手続き,1
718,まっしょう,抹消,不要になった登録を抹消する,手続き,3
719,さいしん,最新,登録情報を最新の内容に更新する,手続き,1
720,こうしんび,更新日,次回の更新日を忘れないようにする,手続き,1
721,とまどう,戸惑う,突然の質問に少し戸惑う,日常,2
722,あわてる,慌てる,時間を間違えて慌てて家を出る,日常,2
723,あせる,焦る,時間がなくても焦らず確認する,日常,2
724,あきれる,呆れる,同じ失敗を繰り返して呆れる,日常,3
725,なやむ,悩む,どちらを買うか悩む,日常,1
726,まよう,迷う,似た商品が多くて選ぶのに迷う,日常,1
727,うたがう,疑う,知らない番号からの電話を疑う,日常,2
728,おどろく,驚く,突然の知らせに驚く,日常,2
729,あきらめる,諦める,難しい漢字は覚えるのを諦める,日常,3
730,こだわる,拘る,素材に拘って商品を選ぶ,日常,3
731,きづかう,気遣う,体調の悪い人を気遣う,日常,2
732,えんりょ,遠慮,勧められたが今回は遠慮する,日常,2
733,はいりょ,配慮,周囲に配慮して声を小さくする,日常,2
734,なっとく,納得,説明を聞いて内容に納得する,日常,2
735,ごかい,誤解,言い方が悪く相手に誤解される,日常,2
736,かんちがい,勘違い,集合時間を一時間勘違いしていた,日常,2
737,かんしん,感心,丁寧な仕事ぶりに感心する,日常,2
738,かんしゃ,感謝,助けてもらったことに感謝する,日常,1
739,きんちょう,緊張,人前で話すと少し緊張する,日常,2
740,あんしん,安心,無事に到着したと聞いて安心する,日常,1
741,はさむ,挟む,書類をファイルに挟む,日常,2
742,つまむ,摘む,指で小さなごみを摘む,日常,3
743,つかむ,掴む,落ちそうな荷物をしっかり掴む,日常,3
744,ねじる,捻る,ふたを右に捻って開ける,日常,3
745,しぼる,搾る,オレンジを搾ってジュースを作る,料理,3
746,こする,擦る,汚れた部分を布で擦る,家,3
747,ぬぐう,拭う,額の汗をタオルで拭う,日常,3
748,ひたす,浸す,布を水に浸してから絞る,家,2
749,つぶす,潰す,空き缶を小さく潰す,家,3
750,ふさぐ,塞ぐ,壁の小さな穴を塞ぐ,家,3
751,かたむける,傾ける,容器を少し傾けて中身を注ぐ,日常,2
752,しばる,縛る,古新聞をひもで縛る,家,2
753,ゆるめる,緩める,きつい結び目を少し緩める,日常,2
754,はがす,剥がす,箱に貼られたシールを剥がす,日常,3
755,はる,貼る,封筒に切手を貼る,日常,2
756,さす,挿す,花瓶に花を挿す,日常,2
757,ぬく,抜く,使わない電源プラグを抜く,家,1
758,ささる,刺さる,指に小さなとげが刺さる,日常,2
759,からまる,絡まる,イヤホンのコードが絡まる,日常,2
760,ほどける,解ける,歩いているうちに靴紐が解ける,日常,2
761,ふた,蓋,鍋に蓋をして弱火で煮る,料理,3
762,びん,瓶,空になった瓶を分別して捨てる,日常,2
763,かん,缶,飲み終わった缶を洗って捨てる,日常,1
764,はし,箸,食事の前に箸を並べる,料理,2
765,つまようじ,爪楊枝,食後に爪楊枝を使う,料理,3
766,しゃもじ,杓文字,杓文字でご飯をよそう,料理,3
767,おたま,お玉,お玉でみそ汁をよそう,料理,1
768,かんきり,缶切り,缶切りで缶詰を開ける,料理,2
769,ざる,笊,茹でた麺を笊に上げる,料理,3
770,すりばち,擂鉢,擂鉢で胡麻をする,料理,3
771,てつびん,鉄瓶,鉄瓶でお湯を沸かす,料理,2
772,ふきん,布巾,布巾で食卓を拭く,家,2
773,ほうき,箒,箒で玄関のごみを掃く,家,3
774,ちりとり,塵取り,塵取りでごみを集める,家,3
775,かなづち,金槌,金槌で釘を打つ,家,3
776,くぎ,釘,壁に小さな釘を打つ,家,2
777,ねじ,螺子,緩んだ螺子を締め直す,家,3
778,さび,錆,自転車の金属部分に錆が出る,家,3
779,すきま,隙間,窓の隙間から冷たい風が入る,家,2
780,あみ,網,網を使って魚を焼く,料理,2
781,きゅうり,胡瓜,胡瓜を薄く切ってサラダに入れる,料理,3
782,なす,茄子,茄子を油で炒める,料理,3
783,かぼちゃ,南瓜,南瓜を柔らかく煮る,料理,3
784,たけのこ,筍,春に筍ご飯を作る,料理,3
785,ごぼう,牛蒡,牛蒡を細く切ってきんぴらにする,料理,3
786,ねぎ,葱,仕上げに刻んだ葱をのせる,料理,3
787,のり,海苔,おにぎりに海苔を巻く,料理,2
788,ごま,胡麻,料理の仕上げに胡麻を振る,料理,3
789,はちみつ,蜂蜜,ヨーグルトに蜂蜜をかける,料理,3
790,もち,餅,正月に焼いた餅を食べる,料理,2
791,めん,麺,昼食に温かい麺を食べる,料理,2
792,わさび,山葵,刺身に少し山葵を添える,料理,3
793,からし,辛子,おでんに辛子をつける,料理,2
794,こんにゃく,蒟蒻,煮物に蒟蒻を入れる,料理,3
795,ひじきに,ひじき煮,夕食の副菜にひじき煮を作る,料理,1
796,わかめ,若布,みそ汁に若布を入れる,料理,2
797,こんぶ,昆布,昆布からだしを取る,料理,2
798,するめ,鯣,おつまみに鯣を焼く,料理,3
799,あずき,小豆,小豆を煮てあんこを作る,料理,2
800,だいこん,大根,大根を煮物に使う,料理,1
801,はあく,把握,現在の状況を正確に把握する,仕事,3
802,すいこう,遂行,計画どおりに業務を遂行する,仕事,3
803,うながす,促す,期限が近いので提出を促す,仕事,3
804,さいそく,催促,返事がないので確認を催促する,仕事,3
805,しょうだく,承諾,条件を確認して依頼を承諾する,仕事,2
806,りょうしょう,了承,予定変更について相手の了承を得る,仕事,2
807,ていあん,提案,会議で新しい方法を提案する,仕事,1
808,ぎだい,議題,今日の会議の議題を確認する,仕事,2
809,ぎろん,議論,改善方法について議論する,仕事,2
810,けいい,経緯,これまでの経緯を簡単に説明する,仕事,2
811,ほうしん,方針,今後の方針を会議で決める,仕事,1
812,けねん,懸念,安全面への懸念が残っている,仕事,3
813,そち,措置,必要に応じて適切な措置を取る,仕事,3
814,ようせい,要請,関係者に協力を要請する,仕事,2
815,そくしん,促進,手続きのオンライン化を促進する,仕事,3
816,ふきゅう,普及,便利なサービスが広く普及する,日常,2
817,さくげん,削減,無駄な費用を削減する,仕事,2
818,てっかい,撤回,一度出した提案を撤回する,仕事,3
819,はいし,廃止,古い制度が来月で廃止される,仕事,2
820,しゅうぜん,修繕,傷んだ建物を修繕する,家,3
821,かじ,家事,朝のうちに家事をまとめて済ませる,家,1
822,すいじ,炊事,毎日の炊事を家族で分担する,家,2
823,あとかたづけ,後片付け,夕食の後片付けを済ませる,家,1
824,みずきり,水切り,洗った野菜をざるで水切りする,料理,1
825,みじんぎり,微塵切り,玉ねぎを細かく微塵切りにする,料理,3
826,せんぎり,千切り,キャベツを細く千切りにする,料理,1
827,らんぎり,乱切り,人参を食べやすく乱切りにする,料理,2
828,うすぎり,薄切り,玉ねぎを薄切りにする,料理,1
829,わぎり,輪切り,胡瓜を輪切りにする,料理,1
830,したごしらえ,下拵え,夕食の下拵えを先に済ませる,料理,3
831,あくぬき,灰汁抜き,筍を茹でて灰汁抜きをする,料理,3
832,みずけ,水気,豆腐の水気をよく切る,料理,1
833,よねつ,予熱,オーブンを二百度に予熱する,料理,2
834,よわび,弱火,煮物を弱火でじっくり煮る,料理,1
835,ちゅうび,中火,フライパンを中火で温める,料理,1
836,つよび,強火,最後に強火で水分を飛ばす,料理,1
837,ひかげん,火加減,焦げないよう火加減を調整する,料理,2
838,にじる,煮汁,残った煮汁で野菜を煮る,料理,1
839,にもの,煮物,夕食のおかずに煮物を作る,料理,1
840,いためもの,炒め物,冷蔵庫の野菜で炒め物を作る,料理,1
841,あげもの,揚げ物,夕食に揚げ物を作る,料理,1
842,やきもの,焼き物,魚の焼き物を夕食に出す,料理,1
843,つけもの,漬物,食卓に漬物を添える,料理,2
844,じょうびさい,常備菜,週末に常備菜をまとめて作る,料理,2
845,つくりおき,作り置き,忙しい日に備えておかずを作り置きする,料理,1
846,のこりもの,残り物,夕食の残り物を翌日の昼に食べる,料理,1
847,ひもち,日持ち,作った料理が何日くらい日持ちするか確認する,料理,2
848,しょうひ,消費,開封した食品は早めに消費する,料理,1
849,みっぷう,密封,残った食品を容器に入れて密封する,料理,2
850,こわけ,小分け,肉を一回分ずつ小分けして冷凍する,料理,1
851,ほぞんようき,保存容器,作り置きを保存容器に入れる,料理,1
852,れいとうやけ,冷凍焼け,長く保存した肉が冷凍焼けしていた,料理,2
853,しぜんかいとう,自然解凍,冷凍した食品を自然解凍する,料理,1
854,あらねつ,粗熱,料理の粗熱が取れてから冷蔵庫に入れる,料理,2
855,ゆせん,湯煎,チョコレートを湯煎で溶かす,料理,2
856,おとしぶた,落し蓋,煮物に落し蓋をして味を染み込ませる,料理,2
857,ふきこぼれ,吹き零れ,鍋の吹き零れに気をつける,料理,3
858,あぶらはね,油跳ね,揚げ物の油跳ねに注意する,料理,2
859,なまごみ,生ごみ,料理のあとに生ごみをまとめる,家,1
860,みずあか,水垢,蛇口についた水垢を落とす,家,2
861,ゆあか,湯垢,浴槽についた湯垢を掃除する,家,2
862,ぬめりとり,ぬめり取り,排水口のぬめり取りをする,家,1
863,めづまり,目詰まり,フィルターの目詰まりを掃除する,家,2
864,つまり,詰まり,排水口の詰まりを取り除く,家,1
865,しみぬき,染み抜き,シャツについた汚れを染み抜きする,家,2
866,つけおき,漬け置き,汚れた布巾を洗剤に漬け置きする,家,2
867,てあらい,手洗い,デリケートな服を手洗いする,家,1
868,せんたくひょうじ,洗濯表示,服の洗濯表示を確認する,家,1
869,いろおち,色落ち,色落ちしそうな服を分けて洗う,家,1
870,いろうつり,色移り,白い服への色移りに注意する,家,1
871,なまがわき,生乾き,洗濯物の生乾きの臭いが気になる,家,2
872,へやぼし,部屋干し,雨なので洗濯物を部屋干しする,家,1
873,そとぼし,外干し,天気がいいので布団を外干しする,家,1
874,とりこむ,取り込む,雨が降る前に洗濯物を取り込む,家,1
875,たたみじわ,畳み皺,服についた畳み皺をアイロンで伸ばす,家,3
876,しわのばし,皺伸ばし,シャツの皺伸ばしをする,家,3
877,せんたくのり,洗濯糊,シャツに洗濯糊を使う,家,2
878,いしょうけーす,衣装ケース,季節外れの服を衣装ケースにしまう,家,1
879,ころもがえ,衣替え,季節の変わり目に衣替えをする,家,2
880,ぼうちゅう,防虫,衣類をしまう前に防虫対策をする,家,2
881,ぼうちゅうざい,防虫剤,衣装ケースに防虫剤を入れる,家,2
882,じょしつざい,除湿剤,押入れの除湿剤を交換する,家,2
883,けっしょう,結晶,古い除湿剤の中に結晶ができていた,家,2
884,ふとんかんそうき,布団乾燥機,雨の日に布団乾燥機を使う,家,1
885,ぼっくすしーつ,ボックスシーツ,ボックスシーツを洗濯する,家,1
886,かけぶとん,掛布団,寒くなったので厚い掛布団を出す,家,2
887,しきぶとん,敷布団,敷布団を日に当てて干す,家,2
888,まくらもと,枕元,寝る前に枕元へ水を置く,家,1
889,ねぐ,寝具,季節に合わせて寝具を替える,家,2
890,せいそう,清掃,年末に家の中をまとめて清掃する,家,1
891,かけい,家計,毎月の家計を見直す,買い物,1
892,かけいぼ,家計簿,買い物の金額を家計簿につける,買い物,1
893,せいかつひ,生活費,毎月の生活費を計算する,買い物,1
894,しょくひん,食品,不足している食品を買い足す,買い物,1
895,にちようひん,日用品,洗剤などの日用品をまとめて買う,買い物,1
896,しょうもうひん,消耗品,ティッシュなどの消耗品を補充する,買い物,2
897,かいおき,買い置き,よく使う調味料を買い置きしておく,買い物,1
898,かいたし,買い足し,足りない食材だけ買い足しに行く,買い物,1
899,ほじゅう,補充,なくなった洗剤を補充する,家,2
900,ひつじゅひん,必需品,旅行に必要な必需品をそろえる,日常,2
901,ごみぶくろ,ごみ袋,指定のごみ袋にごみを入れる,家,1
902,ぶんべつ,分別,空き缶と瓶を分別して捨てる,家,2
903,かねんごみ,可燃ごみ,決められた日に可燃ごみを出す,家,1
904,ふねんごみ,不燃ごみ,割れた食器を不燃ごみとして出す,家,1
905,しげんごみ,資源ごみ,新聞紙を資源ごみに出す,家,1
906,そだいごみ,粗大ごみ,古い家具を粗大ごみに出す,家,2
907,しゅうしゅうび,収集日,ごみの収集日を確認する,家,1
908,かいしゅう,回収,資源ごみの回収場所へ持っていく,家,1
909,だんぼーる,段ボール,届いた荷物の段ボールを畳む,家,1
